instance,n,obj_value,solving_time
instance_50_1.dat,50,643.156,0.000869306,0-8-26-13-36-16-38-20-21-10-5-44-29-7-17-34-1-22-41-40-31-2-6-11-33-18-4-30-14-28-24-27-3-15-49-42-43-9-46-35-19-48-37-25-23-39-47-12-45-32-0
instance_50_3.dat,50,610.881,0.0015068,0-10-31-5-7-28-1-27-36-45-35-17-40-26-32-9-14-39-13-19-25-24-11-12-42-16-34-46-2-15-48-23-4-6-8-18-44-41-3-49-22-43-30-33-47-21-38-29-37-20-0
instance_50_4.dat,50,588.346,0.00101718,0-23-18-36-40-24-43-13-48-44-1-25-46-38-39-10-20-22-14-47-2-27-16-32-33-3-6-4-37-30-19-12-11-45-7-17-35-21-8-15-5-31-28-42-9-26-29-41-34-49-0
instance_50_5.dat,50,663.903,0.00109602,0-11-47-7-19-48-28-41-32-18-33-25-22-3-39-30-45-12-23-46-16-24-35-4-15-43-2-27-44-20-1-42-8-37-49-13-14-40-21-10-36-34-17-5-9-38-6-29-31-26-0
instance_50_2.dat,50,597.533,0.00145496,0-6-7-22-14-8-27-44-40-31-16-30-9-41-38-46-35-21-1-26-20-23-2-5-12-17-4-15-42-13-32-24-45-11-39-28-18-49-25-29-10-3-37-36-33-34-19-48-43-47-0
