instance,n,obj_value,solving_time
instance_30_1.dat,30,471.068,0.000236103,0-27-1-17-18-19-4-11-14-2-29-20-21-23-10-9-16-26-24-6-5-28-8-3-15-12-7-25-22-13-0
instance_30_5.dat,30,555.805,0.00029685,0-10-21-22-19-8-13-26-4-16-24-29-20-3-14-12-25-2-18-6-5-7-27-9-23-15-1-28-11-17-0
instance_30_2.dat,30,533.029,0.000259147,0-10-12-3-5-6-21-9-23-25-29-7-19-2-13-11-24-16-20-18-15-22-26-1-28-27-14-4-17-8-0
instance_30_3.dat,30,517.599,0.000284424,0-14-12-18-24-11-21-23-7-1-9-5-17-2-8-27-4-6-10-28-13-22-15-26-3-20-25-16-19-29-0
instance_30_4.dat,30,496.672,0.000264948,0-4-9-23-12-16-17-15-21-19-25-6-28-11-7-3-2-29-27-13-14-1-24-8-22-26-5-10-18-20-0
