instance,n,obj_value,solving_time
instance_100_1.dat,100,795.722,0.00723819,0-92-75-29-98-5-38-13-46-90-51-10-63-33-56-78-87-44-68-62-19-1-12-76-66-57-43-91-22-47-52-50-45-2-35-89-72-11-40-77-79-39-73-16-80-88-70-74-4-49-94-27-6-59-28-99-7-54-17-58-84-55-41-97-36-67-18-65-93-37-61-82-9-20-25-32-24-3-81-86-53-8-34-26-69-14-30-31-64-21-96-60-71-95-85-15-83-23-42-48-0
instance_100_3.dat,100,836.047,0.00873062,0-82-62-12-32-5-92-88-87-1-13-75-53-10-78-76-26-15-7-90-30-80-17-9-77-99-83-72-6-27-28-8-23-39-52-61-18-95-84-69-25-56-68-20-98-2-51-16-44-96-38-34-49-33-57-97-94-63-3-70-74-24-31-21-37-11-58-48-71-40-73-42-4-50-54-64-93-65-86-85-35-43-19-91-22-46-41-29-60-59-45-47-81-36-55-89-79-67-14-66-0
instance_100_4.dat,100,804.087,0.00885284,0-37-86-79-7-19-49-64-45-74-98-90-6-30-41-40-25-38-83-8-28-58-95-16-76-89-57-92-24-93-34-97-23-66-11-59-43-12-72-4-5-27-36-88-42-52-14-94-68-91-61-33-78-35-54-51-80-3-56-70-48-22-18-81-13-26-2-65-15-46-60-53-69-39-31-77-47-10-82-29-62-44-87-1-32-73-20-50-67-9-96-55-17-21-75-63-85-71-99-84-0
instance_100_5.dat,100,823.77,0.00709192,0-43-49-70-48-97-17-22-57-44-95-8-35-82-64-47-71-58-4-24-98-88-19-79-96-33-36-59-52-74-29-31-42-14-5-62-28-72-10-26-46-68-9-38-16-99-86-65-1-81-76-63-11-94-78-34-80-90-87-91-2-21-6-56-41-83-75-30-67-53-23-89-55-32-13-73-12-18-27-69-15-7-39-84-25-45-50-66-85-3-51-54-37-92-60-61-77-20-40-93-0
instance_100_2.dat,100,803.303,0.00521897,0-56-40-96-16-46-90-83-21-8-69-7-24-86-62-66-94-36-92-91-68-45-35-10-25-65-64-11-55-85-32-67-72-33-38-52-81-31-23-53-37-5-22-12-34-71-41-63-70-1-20-9-29-57-26-54-51-19-93-58-87-79-95-48-44-18-88-73-60-17-2-47-77-78-97-6-80-42-4-27-14-3-99-28-39-76-49-74-13-98-61-59-75-82-50-43-84-15-89-30-0
