instance,n,obj_value,solving_time
instance_80_1.dat,80,734.248,0.00386502,0-16-6-57-66-33-47-31-22-67-3-54-27-5-78-43-39-59-26-58-20-50-49-73-24-55-2-9-4-30-69-17-35-52-37-56-72-53-11-13-15-65-19-46-48-60-61-51-68-38-34-77-23-8-7-36-14-40-71-44-79-28-63-25-21-1-76-70-42-74-10-32-75-64-18-45-41-12-62-29-0
instance_80_3.dat,80,722.772,0.00241525,0-78-61-26-60-56-25-14-51-12-3-74-33-73-4-47-11-43-58-62-54-40-18-2-68-48-17-71-65-53-64-50-22-21-46-8-19-30-6-27-44-39-79-72-15-59-36-63-67-35-24-41-9-55-13-5-31-76-20-57-7-34-69-70-38-49-77-42-52-1-10-28-23-75-16-37-29-66-45-32-0
instance_80_4.dat,80,727.297,0.00159085,0-76-19-56-65-69-12-43-7-55-27-38-23-6-50-42-16-22-62-44-54-15-25-51-48-28-24-46-29-34-68-74-10-1-70-49-57-18-71-53-75-39-77-67-17-58-2-14-5-66-8-33-20-73-61-60-59-21-13-41-45-30-9-64-40-63-36-31-4-3-47-32-26-79-37-35-52-72-11-78-0
instance_80_5.dat,80,738.108,0.00267108,0-66-20-56-33-71-77-61-46-16-64-63-35-31-27-32-29-7-58-8-68-75-65-38-73-67-44-62-23-49-60-1-55-34-39-54-43-13-70-21-47-59-10-40-2-48-17-37-69-72-26-5-76-11-6-45-25-22-28-52-30-50-9-12-4-3-57-79-78-24-15-42-14-18-53-36-51-74-41-19-0
instance_80_2.dat,80,742.43,0.00266141,0-63-10-26-67-68-22-5-48-25-34-59-9-6-31-66-12-75-38-3-37-73-23-27-7-8-77-11-30-60-79-21-47-36-35-51-19-69-18-28-42-2-39-50-32-72-56-55-58-16-49-62-14-17-71-53-61-15-40-78-4-52-64-44-29-43-13-65-1-57-24-70-45-46-33-41-20-74-76-54-0
