instance,n,obj_value,solving_time
instance_70_1.dat,70,726.256,0.00274561,0-61-34-33-22-60-41-66-64-26-25-3-39-19-18-28-31-44-15-46-48-2-32-63-12-45-27-14-58-10-1-53-16-38-4-36-65-47-57-43-13-30-56-42-5-8-50-11-67-52-37-40-54-17-29-20-23-51-55-49-35-6-7-62-21-69-68-24-9-59-0
instance_70_4.dat,70,715.712,0.00265943,0-59-11-47-27-39-52-36-48-32-8-12-67-35-28-3-60-16-46-51-63-18-6-62-4-20-65-29-26-54-49-14-17-40-2-44-69-10-25-31-22-30-15-64-53-66-41-21-42-33-45-50-56-58-38-19-57-1-5-7-13-23-68-55-61-37-43-9-34-24-0
instance_70_3.dat,70,713.397,0.00332674,0-15-22-31-66-32-35-51-21-19-42-64-54-33-52-9-29-12-61-57-10-11-20-18-1-62-39-24-53-50-25-68-7-36-34-58-40-14-38-45-27-5-46-60-2-26-23-67-30-69-17-6-47-44-63-28-4-49-16-3-8-41-13-55-43-59-48-65-37-56-0
instance_70_2.dat,70,682.427,0.00280575,0-15-51-17-68-57-48-64-52-38-67-41-25-37-3-32-43-28-42-39-13-8-60-6-30-53-2-26-63-14-11-69-9-34-58-21-10-47-23-1-61-20-44-49-65-62-35-55-22-56-50-66-18-19-45-7-59-5-24-16-54-31-33-29-4-12-40-46-36-27-0
instance_70_5.dat,70,685.984,0.00225978,0-28-50-13-31-53-60-56-49-11-20-63-22-6-29-16-64-1-27-19-51-33-52-55-36-17-67-45-30-43-37-25-2-9-12-44-5-7-32-69-14-38-3-40-26-24-21-59-54-10-18-15-42-8-57-47-39-58-41-4-48-62-46-35-68-66-61-34-23-65-0
